GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0500000US08025,08025,United States - Colorado - Crowley County,Crowley County,31151,4231
0100000US,,United States,0500000US08027,08027,United States - Colorado - Custer County,Custer County,35000,5776
0100000US,,United States,0500000US08029,08029,United States - Colorado - Delta County,Delta County,42452,2626
0100000US,,United States,0500000US08031,08031,United States - Colorado - Denver County,Denver County,53637,803
0100000US,,United States,0500000US08033,08033,United States - Colorado - Dolores County,Dolores County,31875,3530
0100000US,,United States,0500000US08035,08035,United States - Colorado - Douglas County,Douglas County,102964,1796
0100000US,,United States,0500000US08037,08037,United States - Colorado - Eagle County,Eagle County,72214,3789
0100000US,,United States,0500000US08039,08039,United States - Colorado - Elbert County,Elbert County,84963,4050
0100000US,,United States,0500000US08041,08041,United States - Colorado - El Paso County,El Paso County,58206,869
0100000US,,United States,0500000US08043,08043,United States - Colorado - Fremont County,Fremont County,40423,1747
0100000US,,United States,0500000US08045,08045,United States - Colorado - Garfield County,Garfield County,56590,3065
0100000US,,United States,0500000US08047,08047,United States - Colorado - Gilpin County,Gilpin County,65670,10178
0100000US,,United States,0500000US08049,08049,United States - Colorado - Grand County,Grand County,63628,6543
0100000US,,United States,0500000US08051,08051,United States - Colorado - Gunnison County,Gunnison County,48071,3928
0100000US,,United States,0500000US08053,08053,United States - Colorado - Hinsdale County,Hinsdale County,57083,6141
0100000US,,United States,0500000US08055,08055,United States - Colorado - Huerfano County,Huerfano County,31715,2861
0100000US,,United States,0500000US08057,08057,United States - Colorado - Jackson County,Jackson County,46014,3111
0100000US,,United States,0500000US08059,08059,United States - Colorado - Jefferson County,Jefferson County,70164,712
0100000US,,United States,0500000US08061,08061,United States - Colorado - Kiowa County,Kiowa County,40304,3948
0100000US,,United States,0500000US08063,08063,United States - Colorado - Kit Carson County,Kit Carson County,40603,5333
0100000US,,United States,0500000US08065,08065,United States - Colorado - Lake County,Lake County,45367,6912
0100000US,,United States,0500000US08067,08067,United States - Colorado - La Plata County,La Plata County,60278,1974
